cycles,intructions
316,1
172,1
183,1
1694,1
3992,1
238,1
400,1
394,1
1752,1
230,1
1339,1
757,1
441,1
582,1
777,1
562,1
252,1
682,1
240,1
564,1
1162,1
455,1
142,2
141,2
309,3
663,1
493,1
271,1
272,1
1160,1
519,1
308,1
19804,1
363,2
80,1
3234,1
3233,3
209,1
1945,1
604,1
156,1
262,1
1007,1
1009,1
1008,1
1006,1
982,1
1819,1
1530,1
267,1
559,1
447,1
722,1
201,2
699,1
623,1
528,1
970,1
1989,1
2080,1
860,1
862,1
589,1
627,1
635,1
931,1
933,1
1510,1
2027,4
1976,4
895,4
1968,1
590,1
3042,1
935,1
393,1
716,1
1993,4
885,4
1996,1
887,5
615,4
681,1
2237,1
3365,1
1399,1
591,1
908,1
743,1
36566,1
2020,1
1967,1
886,1
588,1
888,1
2138,1
879,1
881,1
430,1
2563,2
432,2
2354,1
136,1
208,7
3665,1
960,1
3664,2
418,6
417,1
958,2
178,3
171,1
530,3
723,3
182,5
5880,1
3662,1
38095,1
1498,1
578,2
523,1
491,1
1032,2
234,2
1857,2
235,2
398,1
15924,1
330,5
1953,1
203,3
129,6
1672,2
725,1
184,6
130,1
2348,1
301,2
157,2
2825,1
3366,1
120,14
2284,1
255,2
655,2
114,3
146,6
2425,1
207,6
721,1
1830,1
106,3
214,3
413,5
213,2
2372,1
154,2
3400,1
161,2
702,1
3474,1
147,10
688,1
438,181
113,1
654,1
8228,1
216,1
1859,1
15925,1
236,4
5971,2
148,8
919,1
1389,1
280,1
700,1
159,1
443,1
5580,1
131,2
5578,1
168,1
181,4
761,1
135,6
1136,1
595,2
108,4
622,1
1731,1
4457,1
3348,1
102,7
548,1
1365,1
1879,1
9863,1
125,2
2289,1
610,1
529,3
3856,1
292,2
145,5
1768,1
835,2
143,5
476,1
103,8
1726,1
109,5
6060,1
366,3
342,2
949,1
2031,1
205,4
198,6
1039,2
729,1
188,3
215,2
199,3
740,1
1735,5
248,1
101,12
642,1
228,8
568,1
187,14
115,228
331,2
3063,1
1954,2
195,4
100,17
89,2909
630,9
343,3
231,7
104,6
274,6
229,2
1311,1
1477,1
368,3
882,1
1991,1
111,10
652,5
5,24
227,1
2445,1
132,2
2864,1
1755,5
123,8
69,13
2287,1
320,3
1943,1
834,1
293,3
63,1
93,39
226,4
95,14
1177,1
636,2
133,1
2342,1
124,4
70,1
2288,1
192,5
733,1
377,1
501,1
1042,2
259,2
2,2268
105,11
2296,8
1187,1
1127,1
99,13
356,3
897,15
613,1
72,1
223,2
1305,1
353,1
96,13
306,2
1077,1
1591,1
509,3
1227,1
118,14
245,5
257,2
1109,1
0,10362
541,179
1,13945
542,1
436,183
1545,1
3,107
544,1
4564,1
128,1
189,5
703,1
162,1
90,53
631,1
2443,1
225,9
98,9
364,6
2325,1
107,12
2866,2
648,1
349,1
92,958
633,4
1860,1
832,2
291,1
318,2
52,2
1391,1
2500,1
282,1
1191,1
82,1
158,4
645,1
2863,1
450,1
193,194
176,12
122,9
2340,2
40,1
1582,2
1041,2
185,6
8,4
1090,1
265,1
119,81
660,1
5843,1
298,6
680,1
10959,1
1762,1
423,1
5122,2
253,2
91,41
6745,1
658,2
144,14
117,13
1226,1
685,4
2395,1
177,29
1800,1
490,1
233,4
3094,1
2039,1
930,2
10,9
551,1
1633,1
1092,1
351,1
191,4
219,1
6873,1
1490,1
381,1
373,1
1225,1
116,102
325,3
866,1
244,1
1353,1
812,1
694,2
153,2
1776,163
5577,1
708,1
194,6
3521,1
275,8
180,10
3437,1
110,16
624,4
1733,1
367,2
2602,1
384,1
925,1
127,5
668,1
898,2
3478,2
151,5
97,6
2315,1
429,1
126,3
1385,2
276,1
817,1
1546,1
1005,3
261,1
1627,1
1598,2
56,2
313,3
854,1
2367,1
149,2
406,1
2056,1
947,1
315,5
856,2
1413,1
304,3
47,1
459,1
1000,1
332,2
873,2
200,10
1566,2
457,2
874,1
1983,1
901,10
204,8
531,2
17166,1
395,1
150,2
246,1
121,1
1358,1
249,3
1331,1
254,2
260,1
232,4
212,2
242,1
988,1
7,17
1116,1
1421,1
4360,1
470,1
269,2
270,2
1107,4
1108,2
472,2
550,1
9,1
555,1
13,1
197,2
487,3
1531,1
359,1083
321,2
294,7
1403,1
322,3
295,7
2513,1
1404,1
1377,1
2486,1
329,6
3663,3
336,2
1959,1
372,2
278,7
289,3
4811,1
375,1
1068,3
527,1
1067,3
427,1
396,2
386,382
2009,10
152,2
277,3
160,4
163,1
471374,1
572,1
4,50
1113,1
10960,1
140,1
86,3
2304,1
273,1
560,1
414,1
592,2
1106,1
2215,1
327,2
1299,1
190,5
354,5
868,1
1977,1
251,1
402,1
543,178
3870,1
83,2
241,2
328,1
284,1
285,2
286,1
340,3
76,1
12,1
1094,1
412,1
